metaphor_desc,wall_support,trump_support
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
0,1.00,1
0,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
1,1.00,1
