"","CHICK_ID","COLONY","TYPE","TAG_NO","TAG_STRIPE","NEST_NO","CHICK_NO","UNIQID","BANDNUMB","AVID","DATE","TIME","FLD_WEIGHT","BAG_WEIGHT","WEIGHT","WING","BILL_LEN","BILL_DEPTH","TIBIOTAR","FOOT","PER_MOLT","SEASON","OUTCOME","STUDY","NOTES"
"367","1213-26-A","CROZ","WB",0,NA,"26","A",NA,NA,NA,2012-12-19,1615,295,20,275,45,11.6,9.48,NA,0,NA,"1213",NA,"CG",NA
"368","1213-26-B","CROZ","WB",0,NA,"26","B",NA,NA,NA,2012-12-19,1615,240,20,220,45,11.19,8.47,NA,0,NA,"1213",NA,"CG",NA
"369","1213-27-A","CROZ","WB",0,NA,"27","A",NA,NA,NA,2012-12-19,1630,470,20,450,63,12.51,10.06,NA,0,NA,"1213",NA,"CG",NA
"370","1213-27-B","CROZ","WB",0,NA,"27","B",NA,NA,NA,2012-12-19,1630,250,20,230,45,11.49,8.24,NA,0,NA,"1213",NA,"CG",NA
"371","1213-22-A","CROZ","WB",0,NA,"22","A",NA,NA,NA,2012-12-19,1658,720,20,700,67,11.78,8.98,NA,0,NA,"1213",NA,"CG",NA
"372","1213-22-B","CROZ","WB",0,NA,"22","B",NA,NA,NA,2012-12-19,1658,745,20,725,70,13.48,10.31,NA,0,NA,"1213",NA,"CG",NA
"373","1213-28-A","CROZ","WB",0,NA,"28","A",NA,NA,NA,2012-12-19,1725,385,20,365,48,11.99,9.38,NA,0,NA,"1213",NA,"CG",NA
"374","1213-28-B","CROZ","WB",0,NA,"28","B",NA,NA,NA,2012-12-19,1725,355,20,335,45,11.94,8.89,NA,0,NA,"1213",NA,"CG",NA
"375","1213-23-A","CROZ","WB",0,NA,"23","A",NA,NA,NA,2012-12-17,1600,180,10,170,43,10.77,9.26,NA,0,NA,"1213",NA,"CG",NA
"376","1213-23-B","CROZ","WB",NA,NA,"23","B",NA,NA,NA,2012-12-17,1600,390,10,380,53,10.45,10,NA,0,NA,"1213",NA,"CG",NA
"377","1213-24-A","CROZ","WB",527,"100/000","24","A",NA,NA,NA,2012-12-20,1850,720,20,700,64,12.57,8.44,NA,60,NA,"1213",NA,"CG",NA
"378","1213-24-B","CROZ","WB",528,"010/000","24","B",NA,NA,NA,2012-12-20,1850,505,20,485,59,11.45,9.09,NA,58,NA,"1213",NA,"CG",NA
"379","1213-7-A","CROZ","WB",529,"001/000","7","A",NA,NA,NA,2012-12-20,1915,555,20,535,62,11.83,9.2,NA,62,NA,"1213",NA,"CG",NA
