"","CHICK_ID","TYPE","TOT_OCC","MEAS_OCC","DATE_TIME","FLD_WEIGHT","BAG_WEIGHT","WEIGHT","WING","BILL_LEN","TIBIOTAR","FOOT","X1"
"1","1213-26-A","WB",9,1,"2012-12-19 16:15",295,20,275,45,11.6,NA,NA,367
"2","1213-26-B","WB",2,1,"2012-12-19 16:15",240,20,220,45,11.19,NA,NA,368
"3","1213-27-A","WB",9,1,"2012-12-19 16:30",470,20,450,63,12.51,NA,NA,369
"4","1213-27-B","WB",9,1,"2012-12-19 16:30",250,20,230,45,11.49,NA,NA,370
"5","1213-22-A","WB",8,1,"2012-12-19 16:58",720,20,700,67,11.78,NA,NA,371
"6","1213-22-B","WB",8,1,"2012-12-19 16:58",745,20,725,70,13.48,NA,NA,372
"7","1213-28-A","WB",8,1,"2012-12-19 17:25",385,20,365,48,11.99,NA,NA,373
"8","1213-28-B","WB",9,1,"2012-12-19 17:25",355,20,335,45,11.94,NA,NA,374
"9","1213-23-A","WB",8,1,"2012-12-17 16:00",180,10,170,43,10.77,NA,NA,375
"10","1213-23-B","WB",3,1,"2012-12-17 16:00",390,10,380,53,10.45,NA,NA,376
"11","1213-24-A","WB",9,1,"2012-12-20 18:50",720,20,700,64,12.57,NA,60,377
"12","1213-24-B","WB",9,1,"2012-12-20 18:50",505,20,485,59,11.45,NA,58,378
"13","1213-7-A","WB",9,1,"2012-12-20 19:15",555,20,535,62,11.83,NA,62,379
"14","1213-7-B","WB",10,1,"2012-12-20 19:15",355,20,335,51,10.46,NA,51,380
"15","1213-4-A","WB",7,1,"2012-12-23 14:15",570,20,550,70,12.38,83,73,387
"16","1213-4-B","WB",7,1,"2012-12-23 14:15",375,20,355,60,12.09,70,63,388
"17","1213-23-A","WB",8,2,"2012-12-23 14:26",900,20,880,80,13.61,93,77,389
"18","1213-23-B","WB",3,2,"2012-12-23 14:26",560,20,540,66,12.15,74,60,390
"19","1213-10-A","WB",1,1,"2012-12-23 14:41",270,20,250,55,11.46,70,54,391
"20","1213-10-B","WB",1,1,"2012-12-23 14:41",205,20,185,49,10.97,66,50,392
"21","1213-11-A","WB",8,1,"2012-12-23 14:51",685,20,665,65,12.71,79,68,393
"22","1213-11-B","WB",8,1,"2012-12-23 14:51",515,20,495,57,10.63,69,58,394
"23","1213-13-A","WB",2,1,"2012-12-23 14:58",660,20,640,72,14.01,79,66,395
"24","1213-22-A","WB",8,2,"2012-12-24 14:30",1550,27,1523,115,14.73,97,86,396
"25","1213-22-B","WB",8,2,"2012-12-24 14:30",1075,27,1048,113,13.76,99,82,397
"26","1213-19-A","WB",9,1,"2012-12-24 14:45",815,27,788,76,12.31,85,70,398
"27","1213-19-B","WB",9,1,"2012-12-24 14:45",520,27,493,54,11.98,71,57,399
"28","1213-16-A","WB",5,1,"2012-12-24 14:15",280,27,253,50,10.23,56,46,400
"29","1213-16-B","WB",8,1,"2012-12-24 14:15",110,27,83,38,9.1,38,38,401
"30","1213-25-S","WB",7,1,"2012-12-25 11:10",635,25,610,80,13.59,85,69,402
"31","1213-18-S","WB",6,1,"2012-12-25 13:30",780,25,755,77,13.31,88,72,403
"32","1213-27-A","WB",9,2,"2012-12-25 13:37",1075,25,1050,93,14.24,99,83,404
"33","1213-27-B","WB",9,2,"2012-12-25 13:37",610,25,585,63,12.9,76,60,405
"34","1213-5-A","WB",8,1,"2012-12-25 13:52",730,25,705,72,11.99,86,74,406
"35","1213-5-B","WB",7,1,"2012-12-25 13:52",430,25,405,60,11.95,72,60,407
"36","1213-28-B","WB",9,2,"2012-12-25 14:25",1075,15,1060,72,13.24,85,70,408
"37","1213-28-A","WB",8,2,"2012-12-25 14:25",1125,15,1110,73,13.73,85,70,409
"38","1213-24-B","WB",9,2,"2012-12-25 14:13",1000,15,985,81,13.67,91,76,410
"39","1213-24-A","WB",9,2,"2012-12-25 14:13",1375,15,1360,97,14.02,106,83,411
"40","1213-7-B","WB",10,2,"2012-12-25 14:41",710,27,683,72,13.13,80,67,412
"41","1213-7-A","WB",9,2,"2012-12-25 14:41",1050,15,1035,95,13.45,100,82,413
"42","1213-2-A","WB",8,1,"2012-12-26 13:01",710,23,687,59,11.79,73,61,414
"43","1213-2-B","WB",3,1,"2012-12-26 13:01",435,23,412,48,11.12,64,50,415
"44","1213-26-A","WB",9,2,"2012-12-26 13:07",620,23,597,64,12.15,77,63,416
"45","1213-26-B","WB",2,2,"2012-12-26 13:07",525,23,502,64,12.59,79,64,417
"46","1213-21-A","WB",7,1,"2012-12-26 13:22",570,23,547,65,11.56,73,63,418
"47","1213-21-B","WB",7,1,"2012-12-26 13:22",350,23,327,52,10.69,61,54,419
"48","1213-12-A","WB",8,1,"2012-12-26 13:36",480,23,457,64,12.12,75,67,420
"49","1213-12-B","WB",8,1,"2012-12-26 13:36",335,23,312,54,10.78,62,55,421
"50","1213-14-A","WB",8,1,"2012-12-27 15:40",665,25,640,71,12.74,77,70,422
"51","1213-14-B","WB",3,1,"2012-12-27 15:40",430,25,405,56,11.49,66,57,423
"52","1213-6-A","WB",3,1,"2012-12-27 15:57",775,25,750,70,12.6,84,72,424
"53","1213-6-B","WB",9,1,"2012-12-27 15:57",495,25,470,61,10.6,73,55,425
"54","1213-4-A","WB",7,2,"2012-12-28 13:30",1550,100,1450,102,13.92,105,90,426
"55","1213-4-B","WB",7,2,"2012-12-28 13:30",1225,100,1125,87,12.36,95,84,427
"56","1213-23-A","WB",8,3,"2012-12-28 13:45",1650,100,1550,121,15.43,111,94,428
"57","1213-23-B","WB",3,3,"2012-12-28 13:45",1250,100,1150,97,15.45,96,78,429
"58","1213-11-A","WB",8,2,"2012-12-28 13:55",1475,100,1375,99,14.42,97,88,430
"59","1213-11-B","WB",8,2,"2012-12-28 13:55",1250,100,1150,91,13.11,95,77,431
"60","1213-19-A","WB",9,2,"2012-12-29 13:04",1125,75,1050,110,12.96,108,84,433
"61","1213-19-B","WB",9,2,"2012-12-29 13:04",875,80,795,91,11.98,104,78,434
"62","1213-15-A","WB",1,1,"2012-12-29 13:12",935,80,855,77,12.34,91,72,435
"63","1213-15-B","WB",1,1,"2012-12-29 13:12",750,80,670,71,12.17,82,69,436
"64","1213-16-A","WB",5,2,"2012-12-29 13:20",815,80,735,77,12.11,84,69,437
"65","1213-22-A","WB",8,3,"2012-12-29 14:00",2100,75,2025,144,15.63,132,97,438
"66","1213-22-B","WB",8,3,"2012-12-29 14:00",1825,75,1750,145,15.24,117,98,439
"67","1213-13-A","WB",2,2,"2012-12-30 14:51",NA,NA,NA,99,16.16,100,86,440
"68","1213-25-S","WB",7,2,"2012-12-30 15:15",1375,75,1300,110,14.49,109,84,441
"69","1213-18-S","WB",6,2,"2012-12-30 15:20",1200,75,1125,112,14.09,112,87,442
"70","1213-27-A","WB",9,3,"2012-12-30 15:20",2275,75,2200,130,16.58,122,98,443
"71","1213-27-B","WB",9,3,"2012-12-30 15:20",975,75,900,91,14.68,98,85,444
"72","1213-5-A","WB",8,2,"2012-12-30 15:32",1450,75,1375,108,14.82,107,92,445
"73","1213-5-B","WB",7,2,"2012-12-30 15:32",975,75,900,84,12.81,95,81,446
"74","1213-24-A","WB",9,3,"2012-12-30 15:40",1650,75,1575,131,16.15,125,94,447
