month,year,day,time,temperature,,,,,,,,,
February,2019,1,12:54 AM,23ĘĘF,,,,,,,,,
February,2019,1,1:29 AM,24ĘĘF,,,,,,,,,
February,2019,1,1:54 AM,23ĘĘF,,,,,,,,,
February,2019,1,2:32 AM,23ĘĘF,,,,,,,,,
February,2019,1,2:54 AM,23ĘĘF,,,,,,,,,
February,2019,1,3:54 AM,27ĘĘF,,,,,,,,,
February,2019,1,4:54 AM,32ĘĘF,,,,,,,,,
February,2019,1,5:54 AM,38ĘĘF,,,,,,,,,
February,2019,1,6:54 AM,41ĘĘF,,,,,,,,,
February,2019,1,7:54 AM,44ĘĘF,,,,,,,,,
February,2019,1,8:54 AM,47ĘĘF,,,,,,,,,
February,2019,1,9:54 AM,48ĘĘF,,,,,,,,,
February,2019,1,10:54 AM,50ĘĘF,,,,,,,,,
February,2019,1,11:54 AM,47ĘĘF,,,,,,,,,
February,2019,1,12:54 PM,44ĘĘF,,,,,,,,,
February,2019,1,1:54 PM,38ĘĘF,,,,,,,,,
February,2019,1,2:54 PM,39ĘĘF,,,,,,,,,
February,2019,1,3:54 PM,39ĘĘF,,,,,,,,,
February,2019,1,4:54 PM,37ĘĘF,,,,,,,,,
February,2019,1,5:54 PM,36ĘĘF,,,,,,,,,
February,2019,1,6:54 PM,35ĘĘF,,,,,,,,,
February,2019,1,7:54 PM,35ĘĘF,,,,,,,,,
February,2019,1,8:54 PM,36ĘĘF,,,,,,,,,
February,2019,1,9:54 PM,34ĘĘF,,,,,,,,,
February,2019,1,10:54 PM,36ĘĘF,,,,,,,,,
February,2019,1,11:37 PM,36ĘĘF,,,,,,,,,
February,2019,1,11:54 PM,36ĘĘF,,,,,,,,,
February,2019,2,12:20 AM,36ĘĘF,,,,,,,,,
February,2019,2,12:38 AM,37ĘĘF,,,,,,,,,
February,2019,2,12:54 AM,37ĘĘF,,,,,,,,,
February,2019,2,1:05 AM,38ĘĘF,,,,,,,,,
February,2019,2,1:54 AM,36ĘĘF,,,,,,,,,
February,2019,2,2:13 AM,37ĘĘF,,,,,,,,,
February,2019,2,2:54 AM,37ĘĘF,,,,,,,,,
February,2019,2,3:54 AM,41ĘĘF,,,,,,,,,
February,2019,2,4:54 AM,44ĘĘF,,,,,,,,,
February,2019,2,5:54 AM,48ĘĘF,,,,,,,,,
February,2019,2,6:54 AM,52ĘĘF,,,,,,,,,
February,2019,2,7:54 AM,56ĘĘF,,,,,,,,,
February,2019,2,8:54 AM,59ĘĘF,,,,,,,,,
February,2019,2,9:54 AM,60ĘĘF,,,,,,,,,
February,2019,2,10:54 AM,60ĘĘF,,,,,,,,,
February,2019,2,11:54 AM,57ĘĘF,,,,,,,,,
February,2019,2,12:54 PM,57ĘĘF,,,,,,,,,
February,2019,2,1:54 PM,55ĘĘF,,,,,,,,,
February,2019,2,2:54 PM,57ĘĘF,,,,,,,,,
February,2019,2,3:54 PM,54ĘĘF,,,,,,,,,
February,2019,2,4:54 PM,53ĘĘF,,,,,,,,,
February,2019,2,5:54 PM,51ĘĘF,,,,,,,,,
February,2019,2,6:54 PM,50ĘĘF,,,,,,,,,
February,2019,2,7:54 PM,52ĘĘF,,,,,,,,,
February,2019,2,8:54 PM,51ĘĘF,,,,,,,,,
February,2019,2,9:04 PM,49ĘĘF,,,,,,,,,
February,2019,2,9:54 PM,47ĘĘF,,,,,,,,,
February,2019,2,10:37 PM,47ĘĘF,,,,,,,,,
February,2019,2,10:54 PM,49ĘĘF,,,,,,,,,
February,2019,2,11:26 PM,50ĘĘF,,,,,,,,,
February,2019,2,11:54 PM,50ĘĘF,,,,,,,,,
February,2019,3,12:54 AM,50ĘĘF,,,,,,,,,
February,2019,3,1:54 AM,50ĘĘF,,,,,,,,,
February,2019,3,2:54 AM,50ĘĘF,,,,,,,,,
February,2019,3,3:54 AM,52ĘĘF,,,,,,,,,
February,2019,3,4:54 AM,55ĘĘF,,,,,,,,,
February,2019,3,5:54 AM,58ĘĘF,,,,,,,,,
February,2019,3,6:54 AM,60ĘĘF,,,,,,,,,
February,2019,3,7:54 AM,63ĘĘF,,,,,,,,,
February,2019,3,8:54 AM,65ĘĘF,,,,,,,,,
February,2019,3,9:54 AM,67ĘĘF,,,,,,,,,
February,2019,3,10:54 AM,66ĘĘF,,,,,,,,,
February,2019,3,11:54 AM,63ĘĘF,,,,,,,,,
February,2019,3,12:54 PM,61ĘĘF,,,,,,,,,
February,2019,3,1:54 PM,59ĘĘF,,,,,,,,,
February,2019,3,2:54 PM,59ĘĘF,,,,,,,,,
February,2019,3,3:54 PM,57ĘĘF,,,,,,,,,
February,2019,3,4:54 PM,57ĘĘF,,,,,,,,,
February,2019,3,5:54 PM,57ĘĘF,,,,,,,,,
February,2019,3,6:54 PM,58ĘĘF,,,,,,,,,
February,2019,3,7:54 PM,57ĘĘF,,,,,,,,,
February,2019,3,8:54 PM,57ĘĘF,,,,,,,,,
February,2019,3,9:32 PM,57ĘĘF,,,,,,,,,
February,2019,3,9:54 PM,57ĘĘF,,,,,,,,,
